PKVRCIRHQMSYJX-AIFWHQITSA-N|P05181,P11712,P10635,P33261,P08684,P23219
FPPNZSSZRUTDAP-UWFZAAFLSA-N|Q4U2R8,P47712
AQHHHDLHHXJYJD-UHFFFAOYSA-N|P24462,P05177,O15244,P10635,P28222,P08183,P20815,P33261,P08588,P08684,P04798,P08908,P07550,P13945
JXLYSJRDGCGARV-CFWMRBGOSA-N|P10635,P05412,Q9UJT1,P23258,P08183,Q71U36,O95342,P07437,P08684,Q92887,Q9UJT0,P33527,O95255
GJSURZIOUXUGAL-UHFFFAOYSA-N|P20815,O75751,O76082,O15245,P05177,P18825,P10635,P08183,P18089,P08913,P08684,P25100,P04798,P35368,P35348,Q9H015
HDOVUKNUBWVHOX-QMMMGPOBSA-N|P05177,Q16348,P04293,P46059,Q8TCC7,Q9QNF7
DDLIGBOFAVUZHB-UHFFFAOYSA-N|P22310,P24462,P05181,P24046,A8MPY1,P08183,P13584,P47869,Q16445,P78334,P18507,P18505,P20813,P20815,Q8N1C3,P14867,P08684,O00591,Q9UN88,P28472,O15245,P28476,O14764,P48169,P34903,P47870,P31644,Q99928
PJVWKTKQMONHTI-UHFFFAOYSA-N|P11712,P05177,P10632,P33260,P33261,P08684,P04798,Q9BQB6
APKFDSVGJQXUKY-INPOYWNPSA-N|
AAXVEMMRQDVLJB-BULBTXNYSA-N|P04150,P10275,P08235
FCCNSUIJIOOXEZ-SJYYZXOBSA-N|P09038,P05230,P08620
WVPSKSLAZQPAKQ-CDMJZVDBSA-N|P11388,P43700,P43702
NLVFBUXFDBBNBW-PBSUHMDJSA-N|P0A7S3,P9WQG9
PHWXUGHIIBDVKD-UHFFFAOYSA-N|P24530,P33261,P11712,P08684,P25101
RBOXVHNMENFORY-DNJOTXNNSA-N|P10635,P08684
NDAUXUAQIAJITI-UHFFFAOYSA-N|P07550,P08588,P08684
JSWZEAMFRNKZNL-UHFFFAOYSA-N|P05181,P11712,P08684,P05177,P46098
OJFSXZCBGQGRNV-UHFFFAOYSA-N|P05181,P11712,P20813,P10635,P10632,P33261,P08684,P35367
NNYBQONXHNTVIJ-UHFFFAOYSA-N|P11712,P19793,Q9HAW8,P35503,Q4U2R8,O60656,P35354,P16662,P23219
NGBFQHCMQULJNZ-UHFFFAOYSA-N|P33261,P11712,Q13621,P23219,P10632
PWVXXGRKLHYWKM-LJQANCHMSA-N|P10635,P28566,P11712,P28221,P28222,P34969,P08183,P41595,P30939,P33261,P08684,P08908,P11509,P23219
JAUOIFJMECXRGI-UHFFFAOYSA-N|P11712,P05177,P10635,P08183,P33261,P35367
FTALBRSUTCGOEG-UHFFFAOYSA-N|Q9UNQ0,Q14524,P05177,Q9UPY5,P04798
RDJGLLICXDHJDY-UHFFFAOYSA-N|P35354,P23219,Q07869
QTBSBXVTEAMEQO-UHFFFAOYSA-N|O94956,P53985
QXKHYNVANLEOEG-UHFFFAOYSA-N|P11509,P08684,P05177,P04798,Q16696
CXKWCBBOMKCUKX-UHFFFAOYSA-M|P33402,P29475
SLXKOJJOQWFEFD-UHFFFAOYSA-N|Q06278,P00747,P08519,P00750
MYPYJXKWCTUITO-LYRMYLQWSA-N|
DQLATGHUWYMOKM-UHFFFAOYSA-L|P11712,P05164,P09488,P35354,Q92887,P30711,P09211,P04731,Q9UNQ0,P06276,P08183,P15559,P9WJI5,P47989,P02795,Q02928,P20813,Q04656,O15431,O15432,O95255,O15438,O15440,P35670,O15244,P00441
MKXZASYAUGDDCJ-NJAFHUGGSA-N|P11712,P24462,Q15822,P10635,P10632,P33261,P35372,P17787,Q5T1J1,P05181,P04839,Q99720,P23975,P41145,P41143,P20813,P20815,P08684,O00264,P32297,P30926,Q8TCU5,P36544,P31645,P43681
VXFJYXUZANRPDJ-WTNASJBWSA-N|Q16348,P46059,P23141,P12821
HXHWSAZORRCQMX-UHFFFAOYSA-N|F1L7U3,P05177,P68371,P08183,Q71U36,P08684,P04798,P83223
GUHPRPJDBZHYCJ-UHFFFAOYSA-N|P35354,P23219
LUALIOATIOESLM-UHFFFAOYSA-N|P21728,P08913,P35368
BVGLIYRKPOITBQ-ANPZCEIESA-N|P08149,P00811,P07944
NWONKYPBYAMBJT-UHFFFAOYSA-L|P10696
CUIHSIWYWATEQL-UHFFFAOYSA-N|Q9UNQ0,P05177,P22309,P10635,P05230,P08183,P09619,P16234,P35968,Q9Y6L6,P08684,P10632,Q9UQQ2,P22607,Q08881,P17948,P10721
YXRDKMPIGHSVRX-OOJCLDBCSA-N|P08172,Q15822,P46721,O15245,P46098
BPLBGHOLXOTWMN-MBNYWOFBSA-N|Q53707
